name,native_name,logo,logo_size,image,image_size,image_caption,type,traded_as,ISIN,foundation,location,key_people,industry,products,revenue,operating_income,net_income,assets,equity,num_employees,owner,homepage,module,subsid,parent,native_name_lang,founded,ratio,box_width,other_name,color,logo_width,image_width,system,status,locale,start,end,stations,ridership2,open,yearcommenced,operator,character,stock,linelength,gauge,minradius,maxincline,electrification,speed,website,map,map_state,embedded,former_name,founder,location_city,area_served,location_country,hq_location_city,hq_location_country,services,divisions,romanized_name,logo_caption,predecessor,brands,num_employees_year,footnotes,aum,logo_upright,hq_location,revenue_year,income_year,net_income_year,assets_year,equity_year,owners,trading_name,rating
Agricultural Bank of China,中国农业银行,Agricultural Bank of China logo.svg,300px,中国农业银行 西侧.jpg,300px,"Headquarters in [[Beijing, China]]",[[Public company|Public]],{{Unbulleted list|Shanghai Stock Exchange|601288| (A ordinary)|SSE|360001| (A preference 1)|SSE|360008| (A preference 2)|hkex|1288| (H ordinary)}} {{Shanghai Stock Exchange|601288}} (A ordinary) {{SSE|360001}} (A preference 1) {{SSE|360008}} (A preference 2) {{hkex|1288}} (H ordinary),{{Unbulleted list|ISIN|sl|=|n|pl|=|y|CNE100000RJ0|ISIN|sl|=|n|pl|=|y|CNE100000Q43}} {{ISIN|sl|=|n|pl|=|y|CNE100000RJ0}} {{ISIN|sl|=|n|pl|=|y|CNE100000Q43}},{{start date and age|df|=|y|1951|7|10}},"[[Beijing, China]]",Zhao Huan ([[President (Corporation)|President]]),[[Financial services]],{{ubl | [[Asset management]] | [[Banking]] | [[Commodities]] | [[Credit card]]s | [[Equities trading]] | [[Insurance]] | [[Investment management]] | [[Mortgage loan]]s | [[Private equity]] | [[Wealth management]]}},{{Increase}} {{CNY|link|=|yes|602.56 billion}} <br/><small>$153.9&nbsp;billion {{small|(2020)}} </small>,"{{Increase}} {{CNY|251.67 billion}} <br />$36,6&nbsp;billion {{small|(2018)}}",{{Increase}} {{CNY|202.63 billion}} <br />$29.5&nbsp;billion {{small|(2018)}},{{Increase}} {{CNY|22.609 trillion}} <br/><small>$3.286&nbsp;trillion {{small|(2018)}} </small>,{{Increase}} {{CNY|1.67 trillion}} <br/>$243&nbsp;billion {{small|(2018)}},"{{Decrease}} 467,631 {{small|(2020)}}",{{Unbulleted list|[[Central Huijin Investment|Central Huijin]] (40.42%)|[[Ministry of Finance of the People's Republic of China|Ministry of Finance]]&nbsp;(39.21%)|[[National Council for Social Security Fund|National&nbsp;Social&nbsp;Security&nbsp;Fund]]&nbsp;(3.02%)|[[China Securities Finance]] (1.92%)}},{{URL|https://www.abchina.com/en/|abchina.com/en/}},{{Infobox Chinese|child|=|yes|s|=|中国农业银行|t|=|中國農業銀行|p|=|Zhōngguó Nóngyè Yínháng|s2|=|农行|t2|=|農行|p2|=|Nóngháng|order|=|st}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bank of Communications Co., Ltd.",{{lang|zh-Hans|交通银行股份有限公司}},Bank of Communications Logo.svg,250px,Bocom Financial Towers.jpg,250px,"[[Bocom Financial Towers]], the bank's head office in [[Shanghai]]",[[Public company|Public]]; [[state-owned enterprise]],{{ubl|SSE|601328| (A share)|SEHK|03328| (H share)|[[Hang Seng Index]] component|SSE|360021| (A preference)|SEHK|04605| (H preference)}} {{SSE|601328}} (A share) {{SEHK|03328}} (H share) {{SSE|360021}} (A preference) {{SEHK|04605}} (H preference),,{{start date and age|1908}} (origin)<br> {{start date and age|1986}} <br>(re-establishment),"[[Shanghai]], [[China]]","[[Niu Ximing]], chairman of the board<br>[[Peng Chun]], President",[[Financial services]],{{ubl | [[Asset management]] | [[Banking]] | [[Commodities]] | [[Credit card]]s | [[Equities trading]] | [[Insurance]] | [[Investment management]] | [[Mortgage loan]]s | [[Private equity]] | [[Wealth management]]}},{{Increase}} {{CNY|link|=|yes|144.08 billion}} <br><small>$20.53&nbsp;billion (2019)</small>,{{Increase}} {{CNY|88.20 billion}} <br><small>$12.57&nbsp;billion (2019)</small>,{{Increase}} {{CNY|77.28 billion}} <br><small>$10.78&nbsp;billion (2019)</small>,{{Increase}} {{CNY|10.670 trillion}} <br><small>$1.52&nbsp;trillion (2020)</small>,{{Increase}} {{CNY|802.54 billion}} <br><small>$114.36&nbsp;billion (2020)</small>,"87,828 <small>(2019)</small>",{{ubl|various entities of the [[State Council of the People's Republic of China|State Council]] (34.55%)|[[National Council for Social Security Fund|National Social Security Fund]] (14.7%)|[[HSBC]] (19.05%)|general public (31.7%)|ref| name=BOCOM2016AR}},[https://www.bankcomm.com/BankCommSite/shtml/jyjr/en/2600212/list.shtml?channelId=2600212 bankcomm.com],,BOCOM (Hong Kong)<br>BOCOM International<br>BOCOM Insurance<br>BOCOM Leasing<br>BOCOM Schroder,[[State Council of the People's Republic of China|Central Government of China]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of Jiangsu Co. Ltd.,江苏银行股份有限公司,Bank of Jiangsu.png,,BANK OF JIANGSU SHENZHEN LUOHU BRANCH (3).jpg,,"Branch in [[Luohu, Shenzhen]]",[[Public company|Public]],{{sse|600919}},,,"[[Nanjing]], [[Jiangsu]], China",Xia Ping (Chairman)<br>Ge Renyu (President),[[Financial services]],,,{{Increase}} {{CNY|link|=|yes|74.29 billion}} (2023),{{Increase}} {{CNY|link|=|yes|30.01 billion}} (2023),{{Increase}} {{CNY|link|=|yes|3.40 trillion}} (2023),{{Increase}} {{CNY|link|=|yes|259.12 billion}} (2023),"19,597 (2023)",,{{URL|www.jsbchina.cn}},,,,zh-cn,{{start date and age|2007|1|24|df|=|yes}},[[Tier 1 capital|Tier 1]] 11.25% (2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing–Shanghai high-speed railway,京沪高速铁路<br>京沪高铁<br>京沪客运专线,CRH-logo.svg,,CR400BF-BZ-5209@BJN (20210627180508).jpg,,,[[High-speed rail]],,,,,,,,,,,,,,"Beijing–Shanghai high-speed railway Co., Ltd.",,,,,zh-Hans,,,300px,Jinghu high-speed railway,{{rcr|CRH}},40px,300px,[[China Railway High-speed]],Operational,[[North China|North]] and [[East China]],[[Beijing South railway station|Beijing South]],[[Shanghai Hongqiao railway station|Shanghai Hongqiao]]/[[Shanghai railway station|Shanghai]],24,"798,000 (daily record)<br />210 million per year (2019)<br>180 million per year (2017)<br /> 1.35 billion first 10 years",{{Start date|2011|6|30|df|=|y}},{{Start date|2008|4|18|df|=|y}},"{{plainlist|
* |rint|cn|rail| [[China Railway Beijing Group|CR Beijing]]
* |rint|cn|rail| [[China Railway Jinan Group|CR Jinan]]
* |rint|cn|rail| [[China Railway Shanghai Group|CR Shanghai]]}} {{rint|cn|rail}} [[China Railway Beijing Group|CR Beijing]]
* {{rint|cn|rail}} [[China Railway Jinan Group|CR Jinan]]
* {{rint|cn|rail}} [[China Railway Shanghai Group|CR Shanghai]]",Elevated,"{{plainlist|
*[[CRH380A]], [[CRH380AL]], [[CRH380B]], [[CRH380BL]], [[CRH380CL]], [[CRH380D]]
*[[CR400AF]], [[CR400BF]], [[Fuxing (train)|CR400AF-A, CR400BF-A, CR400AF-B, CR400BF-B, CR400BF-BZ, CR400BF-Z, CR400AF-B, CR400AF-Z, CR400AF-BZ]]}}",{{cvt|1318|km|mi|0|abbr|=|on}} <br> {{cvt|1302|km|mi|0|abbr|=|on}} (main line),{{RailGauge|sg|allk|=|on}},mostly {{cvt|7000|m|mi|abbr|=|on}} or<br/> {{cvt|400|m|mi|abbr|=|on}} near Beijing South,2%,{{25 kV 50 Hz}} ([[Overhead line]]),{{cvt|350|km/h|mph|abbr|=|on|round|=|10}},{{URL|http://www.cr-jh.cn/}},[[File:Beijing-Shanghai Line.png|240px]]<br> {{Beijing–Shanghai high-speed railway RDT|inline|=|1}},collapsed,"{{Infobox Chinese|child|=|yes
|title|=|Jinghu high-speed railway
|s|=|京沪高速铁路
|t|=|京滬高速鐵路
|p|=|Jīnghù Gāosù Tiělù
|wuu|=|Cin<sup>1</sup>wu<sup>2</sup> Kau<sup>1</sup>soh<sup>4</sup> Thih<sup>4</sup>lu<sup>3</sup>
|order|=|st}}",,,,,,,,,,,,,,,,,,,,,,,,,,
BOE Technology Group,京东方科技集团股份有限公司,Boe Technology Group logo.svg,200,BOE Technology headquarters (20221017164028).jpg,,Headquarters,[[Public company|Public]],{{ubl|SZSE|000725| ([[A-share (mainland China)|A share]])|SZSE|200725| ([[B-share (mainland China)|B share]])|CSI A50}} {{SZSE|000725}} ([[A-share (mainland China)|A share]]) {{SZSE|200725}} ([[B-share (mainland China)|B share]]),,{{start date and age|1993|04|df|=|y}},,{{Unbulleted list|Chen Yanshun (Chairman)|Gao Wenbao (President)}},"{{plainlist|
* [[Electronics]]
* [[Health care]]
* [[Internet of things]]
* [[Photovoltaics]]}}","{{plainlist|
* [[LCD]]s
* [[OLED]]s
* [[Flexible display]]s
* [[MicroLED]]s
* [[Fingerprint#Fingerprint sensors|Fingerprint sensors]]
* Optoelectronic sensors
* [[Solar panel]]s}}",,{{Decrease}} {{CNY|link|=|yes|174.54 billion}} (2023),{{Increase}} {{CNY|link|=|yes|369.87 million}} (2023),{{Decrease}} {{CNY|link|=|yes|419.19 billion}} (2023),{{Decrease}} {{CNY|link|=|yes|197.80 billion}} (2023),"90,563 (2023)",,{{Official URL}},,[[SES-imagotag]]<br />Varitronix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beijing Oriental Electronics Group (1993–2001),Wang Dongsheng,[[Beijing]],Worldwide,China,,,,,,,,,,,,,,,,,,,,,
"Contemporary Amperex Technology Co., Limited",{{lang|zh|宁德时代新能源科技股份有限公司}},Contemporary Amperex Technology logo.svg,,CATL Arnstadt 2crop 2020-04.jpg,,"CATL facility in [[Arnstadt]], Germany, one of thirteen facilities around the world.",,{{szse|300750}} <br>CSI A50<br> {{sehk|3750}},,,,"{{Unbulleted list
  | Robin Zeng ([[Chairperson|Chair]])}}",[[Battery industry|Electric batteries]],,{{increase}} 178.886 billion yuan (25.1B$)(H1 2025),,{{increase}} 30.49 billion yuan (4.2B$)(H1 2025),{{increase}} [[US$]] 113.0 billion (2025),,"131,988 (2025)",,,,,,,{{start date and age|2011}},,,,,,,,,,,,,,,,,,,,,,,,,{{Official URL}},,,,,[[Robin Zeng]],,,,"[[Ningde]], Fujian",China,,,,,,,,,,,,,,,,,,,
China Merchants Bank Company Limited,{{lang|zh-Hans|招商银行股份有限公司}},China Merchants Bank logo.svg,,CMB Tower in Shenzhen2021.jpg,200px,"[[Headquarters]] of China Merchants Bank in the West [[Futian District]] of [[Shenzhen]], China",[[Public company|Public]],{{ubl|SSE|600036|hkse|3968|CSI A50}} {{SSE|600036}} {{hkse|3968}},,{{start date and age|1987|4|8|df|=|y}},,Miao Jianmin <small>([[Chairman]])</small><br>Wang Liang <small>(President & [[CEO]])</small>,[[Bank]]ing,,{{Increase}} CNY¥ {{FXConvert|CHN|225.61|b}} (2020),{{Increase}} CNY¥ {{FXConvert|CHN|106.5|b}} (2018),{{Increase}} CNY¥ {{FXConvert|CHN|80.56|b}} (2018),{{Increase}} CNY¥ {{FXConvert|CHN|6.746|t}} (2018),{{Increase}} CNY¥ {{FXConvert|CHN|543.61|b}} (2018),"74,590 <small>(2018)</small>",[[China Merchants Group]] (18%),[https://www.cmbchina.com],"{{infobox Chinese
  | child |=| yes
  | s     |=| 招商银行
  | t     |=| 招商銀行
  | p     |=| Zhāoshāng Yínháng
  | w     |=| 
  | mi    |=| 
  | y     |=| 
  | j     |=| 
  | poj   |=| 
  | l     |=| 
  | order |=| st}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Yuan Geng]],"[[China Merchants Bank Tower]], [[Futian District]], [[Shenzhen]], [[Guangdong]]",Worldwide,[[China]],,,"[[Deposit (finance)|Deposit]], [[loan]], [[credit card]] and other banking services.",,,,,,,,,,,,,,,,,,
China Minsheng Banking Corporation Limited <br /> 中国民生银行股份有限公司,,Minshengbank.svg,250px,File:MinshengBankBeijing.jpg,250px,Head office of China Minsheng Bank on [[Fuxingmen Inner Street]] in Beijing,[[Publicly traded company]],{{SSE|600016}} <br> {{hkex|1988}} <br>[[SSE 50 Index|SSE 50 Component]],,{{start date and age|1996|1|12|df|=|y}},"No. 2 Fuxingmennei Avenue, Xicheng District",,[[Bank]],,,CNY¥ {{FXConvert|CHN|137.4|b}} {{small|(2023)}},,CNY¥ {{FXConvert|CHN|7.64|t}} {{small|(2023)}},,,Mainly [[private sector]] corporations in China,{{URL|http://www.cmbc.com.cn/}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Beijing]],Mainland [[China]]<br>[[Hong Kong]],,,,,[[Minsheng Private Banking Service]],,,,,,,,,,,,,,,,,
China Petroleum and Chemical Corporation,中国石油化工股份有限公司,[[File:Sinopec.svg|100px]],,[[File:SinopecHQChaoyang.JPG|250px]],,Headquarters in Beijing,[[Public company|Public]],{{ubl|SSE|600028|SEHK|386|[[Hang Seng Index]] component|CSI A50}} {{SSE|600028}} {{SEHK|386}},,"{{Start date and age|df|=|yes|25 February 2000}} , in [[Beijing]], China","[[Chaoyang District, Beijing|Chaoyang District]], Beijing, China",{{ubl|Ma Yongsheng (chairman)|Zhang Dong (vice chairman & president)|ref|{{cite web |title=Board of Directors Sinopec Corp |url=http://www.sinopec.com/listco/en/about_sinopec/our_company/board_of_directors/ |website=www.sinopec.com |access-date=25 August 2024}}|</ref>}},[[Oil and gas industry|Oil and gas]],"[[Fuel]]s, [[natural gas]], [[lubricant]]s, [[petrochemical]]s",,,{{increase}} {{CNY|75.643 billion}} (2022),"{{increase}} {{CNY|2,026.640 billion}} (2023)","{{nowrap|increase| |CNY|784.706 billion| (2022)|ref| name=""report2022""}} {{increase}} {{CNY|784.706 billion}} (2022)","374,791 (2022)",,{{Official URL}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worldwide,,,,,,,,,,,,,,,,,,,,,,
China Shenhua Energy,中国神华能源股份有限公司,File:China Shenhua Energy Logo.png,,,,,Public,{{ubl|SSE|601088|sehk|1088|CSI A50}} {{SSE|601088}} {{sehk|1088}},,1995,,Zhang Yuzuo (chairman),[[Electricity]]<br/>[[Mining]],[[Coal]]<br/>[[Electric power]],,,,,,"74,949 (2011)",,{{url|www.csec.com}},,,[[Shenhua Group]] (73.06%),zh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Beijing]],China,China,,,,,Zhōngguó shénhuá néngyuán gǔfèn yǒuxiàn gōngsī,,,,,,,,,,,,,,,,
