name,logo,image,image_upright,image_caption,trading_name,former_name,type,traded_as,industry,area_served,key_people,products,services,revenue,revenue_year,operating_income,income_year,net_income,net_income_year,assets,assets_year,equity,equity_year,founders,founded,hq_location,hq_location_city,hq_location_country,num_employees,website,footnotes,logo_alt,image_alt,trade_name,founder,brands,logo_size,image_size,location,subsid,owner,foundation,predecessor,num_employees_year,former_names,ISIN,logo_upright,logo_caption,num_locations,num_locations_year,module,parent,homepage,predecessors,owners,location_city,location_country,divisions,locations,members,members_year,production
Adobe Inc.,[[File:Adobe Corporate wordmark.svg|frameless|upright=1.1|class=skin-invert-image]],Adobe World Headquarters.jpg,1.1,"[[Adobe World Headquarters]] in [[San Jose, California]]",Adobe,Adobe Systems Incorporated (1982–2018),[[Public company|Public]],{{Unbulleted list|NASDAQ|ADBE|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|ADBE}},[[Software]],Worldwide,{{Unbulleted list|[[Shantanu Narayen]]<br />([[chairman]] & [[Chief executive officer|CEO]])}},{{hlist|[[Adobe Photoshop|Photoshop]] | [[Adobe Acrobat|Acrobat]] | [[Adobe Illustrator|Illustrator]] | [[PDF]] | [[Adobe Lightroom|Lightroom]] | [[Adobe Captivate|Captivate]] | [[Adobe ColdFusion|ColdFusion]] | [[Adobe XD|XD]] | [[Adobe Dreamweaver|Dreamweaver]] | [[Adobe InDesign|InDesign]] | [[Adobe Spark|Spark]] | [[Adobe Premiere Elements|Premiere Elements]] | [[Adobe RoboHelp|RoboHelp]] | [[Adobe FrameMaker|FrameMaker]] | [[Adobe Creative Cloud|Creative Cloud]] | ('''[[List of Adobe software|Full list]]''')}},[[SaaS]],{{increase}} {{US dollar|21.51 billion|link|=|yes}},2024,{{increase}} {{US dollar|6.741 billion}},2024,{{increase}} {{US dollar|5.560 billion}},2024,{{increase}} {{US dollar|30.23 billion}},2024,{{decrease}} {{US dollar|14.11 billion}},2024,{{Unbulleted list|[[John Warnock]]|[[Charles Geschke]]}},"{{Start date and age|1982|12}} <br /> {{Nowrap|[[Mountain View, California]], U.S.}}",[[Adobe World Headquarters]],"[[San Jose, California]]",U.S.,"40,135 (2025)",{{URL|https://www.adobe.com/|adobe.com}},Financials {{as of|2024|11|29|lc|=|y|df|=|US}} .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Micro Devices, Inc.",[[File:AMD Logo.svg|frameless|upright=1.1|class=skin-invert]],"2485 Augustine Drive headquarters in Santa Clara, California.jpg",1.1,"Headquarters in [[Santa Clara, California]], in 2020",,,[[Public company|Public]],"{{Unbulleted list
  | |NASDAQ|AMD|
  | [[Nasdaq-100]] component
  | [[S&P 100]] component
  | [[S&P 500]] component}} {{NASDAQ|AMD}}",{{ubl|[[Semiconductor industry|Semiconductor]]s|[[Computer hardware]]}},Worldwide,"{{Unbulleted list
  | [[Lisa Su]] ([[Chairperson|chair]] & [[Chief executive officer|CEO]])
  | [[Mark Papermaster]] ([[Chief technical officer|CTO]])

| Jean Hu ([[Chief financial officer|CFO]])
| Phil Guido ([[Chief commercial officer|CCO]])}}","{{Flatlist|
* [[List of AMD processors|AMD CPUs]]
* [[List of AMD graphics processing units|AMD GPUs]]
* [[Xilinx|AMD FPGAs]]}}",,{{increase}} {{US$|25.79}} &nbsp;billion (2024),,{{increase}} {{US$|1.900}} &nbsp;billion (2024),,{{increase}} {{US$|1.641}} &nbsp;billion (2024),,{{increase}} {{US$|69.23}} &nbsp;billion (2024),,{{increase}} {{US$|57.57}} &nbsp;billion (2024),,,{{Start date and age|1969|05|01}},,"Santa Clara, California",United States<br/>,"{{circa|28,000}} (2024)",{{URL|https://www.amd.com/|amd.com}},,"Advanced Micro Devices, Inc. logo","Image of AMD's headquarters located in Santa Clara, California",AMD,Team led by [[Jerry Sanders (businessman)|Jerry Sanders]],{{hlist|[[Ryzen]]|[[Radeon]]|[[Athlon]]|[[Epyc]]|[[Threadripper]]|[[Virtex (FPGA)|Virtex]]|[[Vivado]]|[[Sempron]]|[[Duron]]|[[AMD Instinct]]}},,,,,,,,,,,,,,,,,,,,,,,,,,
"Airbnb, Inc.",Airbnb Logo Bélo.svg,"888 Brannan, San Francisco, 2016.jpg",,Headquarters at 888 Brannan Street,,,[[Public company|Public]],{{ubl|NASDAQ|ABNB| (Class A)|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|ABNB}} (Class A),[[Lodging]],Worldwide,{{Unbulleted list|Brian Chesky ([[Chief executive officer|CEO]])|Nathan Blecharczyk ([[Chief strategy officer|CSO]])}},,{{ubl|[[Lodging]]|[[Hospitality]]|[[Homestay]]}},{{increase}} {{US$|11.1 billion|link|=|yes}} (2024),,{{increase}} {{US$|2.55 billion}} (2024),,{{decrease}} {{US$|2.65 billion}} (2024),,{{increase}} US$20.9 billion (2024),,{{increase}} US$8.41 billion (2024),,{{ubl|[[Brian Chesky]]|[[Joe Gebbia]]|[[Nathan Blecharczyk]]}},"{{Start date and age|2008|08}} in [[San Francisco, California]], U.S.",,,,"7,300 (2024)",{{URL|https://www.airbnb.com/|airbnb.com}},,Airbnb logo,,,,,250px,250px,"{{nowrap|[[San Francisco, California]], U.S.}}","{{Plain list|
* Luxury Retreats International Inc.
* [[Tilt.com]] 
* [[Accomable]]
* Aibiying
* Trooly, Inc.
* Deco Software Inc.
* Trip4real Experiences, S.L.
* Larson8, Inc.
* MarketLog, Randorphire Inc.
* [[HotelTonight]]}}",{{ubl|Brian Chesky (10%)|Nathan Blecharczyk (10%)|Joe Gebbia (7%)}},,,,,,,,,,,,,,,,,,,,,
"American Electric Power Company, Inc.",AEP-Logo-Red-Gray.svg,AEP Building 1.jpg,,"[[AEP Building]], the company's headquarters in [[Columbus, Ohio]]",,,[[Public company|Public]],{{ubl|NASDAQ|AEP|[[DJUA]] component|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|AEP}},[[Electric Utility|Electric utilities]],"{{bulleted list|'''AEP Ohio''': [[Ohio]]|'''AEP Texas''': [[Texas]]|'''Appalachian Power''': [[Tennessee]], [[Virginia]], [[West Virginia]]|'''Indiana Michigan Power''': [[Indiana]], [[Michigan]]|'''Kentucky Power''': [[Kentucky]]|'''PSO''': [[Oklahoma]]|'''SWEPCO''': [[Arkansas]], [[Louisiana]], [[Texas]]}}","Bill Fehrman ([[chairman]], [[President (corporate title)|president]] & [[Chief executive officer|CEO]])",{{ubl|[[Electric power generation|Electricity generation]]|[[Electric power transmission]]|[[Electricity distribution]]}},,{{increase}} {{US$|19.72 billion|link|=|yes}} (2024),,{{increase}} {{US$|4.304 billion}} (2024),,{{increase}} {{US$|2.967 billion}} (2024),,{{increase}} {{US$|103.1 billion}} (2024),,{{increase}} {{US$|26.94 billion}} (2024),,,,,,,"16,330",{{Official URL}},,,,,,,,,"[[AEP Building]], [[Columbus, Ohio]], U.S.",,,{{start date and age|1906}},"Originally American Gas and Electric Company (AG&E), formed in 1906 from Electric Company of America.  Became American Electric Power in 1958; merged with Central and Southwest Corporation in 2000.",2024,,,,,,,,,,,,,,,,,,
Amgen Inc.,Amgen.svg,Amgenheadquarters.jpg,,"Headquarters in Thousand Oaks, California",,,[[Public company|Public]],{{unbulleted list|NASDAQ|AMGN|[[Nasdaq-100]] component|[[DJIA]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|AMGN}},[[Biotechnology]],,"{{unbulleted list|[[Robert A. Bradway]] ([[chairman]], [[President (corporate title)|president]] & [[Chief executive officer|CEO]])|[[Howard Y. Chang]] ([[chief scientific officer|CSO]])}}",{{hlist|[[Aimovig]]|[[Aranesp]]|[[Blincyto]]|[[Epogen]]|[[Anakinra|Kineret]]|[[Enbrel]]|[[Kyprolis]]|[[Neulasta]]|[[Neupogen]]|[[Nplate]]|[[Parsabiv]]|[[Prolia]]|[[Repatha]]|[[Sensipar]]/[[Mimpara]]|[[Vectibix]]|[[Xgeva]]}},,{{increase}} {{US$|33.4 billion|link|=|yes}} (2024),,{{decrease}} {{US$|7.26 billion}} (2024),,{{decrease}} {{US$|4.09 billion}} (2024),,{{decrease}} {{US$|91.8 billion}} (2024),,{{decrease}} {{US$|5.88 billion}} (2024),,,,,,,"28,000 (2024)",{{URL|https://amgen.com/}},,,,,,,250px,250px,"{{nowrap|[[Thousand Oaks, California]], U.S.}}",,,{{start date and age|1980|4|8}},,,Applied Molecular Genetics (1980–1983),{{ISIN|sl|=|n|pl|=|y|US0311621009}},,,,,,,,,,,,,,,,
"Analog Devices, Inc.",Analog Devices Logo.svg,,,,,,[[Public company|Public]],{{ubl|NASDAQ|ADI|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|ADI}},[[Semiconductors]],,Vincent Roche ([[chairman]] and [[Chief executive officer|CEO]]),Semiconductors,,{{increase}} {{US$|11.02&nbsp;billion|link|=|yes}} (2025),,{{increase}} {{US$|2.932&nbsp;billion}} (2025),,{{increase}} {{US$|2.267&nbsp;billion}} (2025),,{{decrease}} {{US$|47.99&nbsp;billion}} (2025),,{{decrease}} {{US$|33.82&nbsp;billion}} (2025),,{{ubl|[[Ray Stata]]|[[Matthew Lorber]]}},"{{Start date and age|1965}} in [[Cambridge, Massachusetts]], U.S.",,,,"24,500 (2025)",{{URL|https://www.analog.com/|analog.com}},Financials {{as of|2025|11|01|lc|=|y|df|=|US}} .,,,,,,,,"{{nowrap|[[Wilmington, Massachusetts]], U.S.}}",,,,,,,,1.1,,,,,,,,,,,,,,,
Apple Inc.,{{dark mode switch|[[File:Apple logo white.svg|frameless|upright=0.45|class=logo-nobg]]|[[File:Apple logo black.svg|frameless|upright=0.45|class=logo-nobg]]|logo}},Aerial view of Apple Park dllu.jpg,1.1,"Aerial view of [[Apple Park]], the company's headquarters, in [[Cupertino, California]]",,"{{Unbulleted list | Apple Computer Company (1976–1977) | Apple Computer, Inc. (1977–2007)}}",[[Public company|Public]],{{Unbulleted list | |NASDAQ|AAPL| | [[Nasdaq-100]] component | [[DJIA]] component | [[S&P 100]] component | [[S&P 500]] component}} {{NASDAQ|AAPL}},{{Unbulleted list | Consumer electronics | Software services | Online services}},Worldwide,"{{Unbulleted list
 | [[Tim Cook]] ([[CEO]])
 | [[Arthur Levinson]] ([[chairman]])}}","{{flatlist|
* [[AirPods]]
* [[AirTag]]
* [[Apple TV (device)|Apple TV]]
* [[Apple Vision Pro]]
* [[Apple Watch]]
* [[HomePod]]
* [[iPad]]
* [[iPhone]]
* [[Mac (computer)|Mac]]}}","{{flatlist|
* [[App Store (Apple)|App Store]]
* [[Apple Arcade]]
* [[Apple Card]]
* [[Apple Music]]
* [[Apple Pay]]
* [[Apple TV (streaming service)|Apple TV]]
* [[CarPlay]]
* [[iCloud]]
* [[Pixelmator]]
* [[Shazam (music app)|Shazam]]}}",{{increase}} {{US dollar|416&nbsp;billion}},2025,{{increase}} {{US dollar|133&nbsp;billion}},2025,{{increase}} {{US dollar|112&nbsp;billion}},2025,{{decrease}} {{US dollar|359&nbsp;billion}},2025,{{increase}} {{US dollar|74&nbsp;billion}},2025,{{Unbulleted list | [[Steve Jobs]] | [[Steve Wozniak]] | [[Ronald Wayne]]}},"{{Start date and age|1976|04|01|p|=|yes}} , in [[Los Altos, California]], US",Apple Park,"Cupertino, California",US,"166,000",{{URL|https://www.apple.com/|apple.com}},Financials {{as of|2025|9|27|df|=|US|pre|=|fiscal year ended|lc|=|y}} .<br />References:,,,,,,,,,"{{Unbulleted list | Apple Financing|ref| name=""b350""|{{cite press release | title=Apple introduces Apple Pay Later | website=Apple Newsroom | date=March 28, 2023 | url=https://www.apple.com/newsroom/2023/03/apple-introduces-apple-pay-later/ | access-date=August 21, 2025}}|</ref>| | [[Apple Studios]] | [[Beats Electronics]] | [[Beddit]] | [[Braeburn Capital]] | [[Claris]] | [[Globalstar]] (20%)}}",,,,2025,,{{ISIN|sl|=|n|pl|=|y|US0378331005}},,Variant of the [[Apple logo]] used since 1977,537 [[Apple Store]]s,2025,{{infobox network service provider|child|=|yes|asn|=|714}},,,,,,,,,,,
"Applied Materials, Inc.",Applied Materials Inc. Logo.svg,,,,,,[[Public company|Public]],{{ubl|NASDAQ|AMAT|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|AMAT}},[[Semiconductor]]s,Worldwide,{{ubl|[[Gary E. Dickerson]] ([[President (corporate title)|President]] & [[Chief Executive Officer|CEO]])|Thomas J. Iannotti ([[Chairman]])}},,,{{increase}} {{US$|27.18 billion|link|=|yes}} (2024),,{{increase}} {{US$|7.867 billion}} (2024),,{{increase}} {{US$|7.177 billion}} (2024),,{{increase}} {{US$|34.41 billion}} (2024),,{{increase}} {{US$|19.00 billion}} (2024),,,{{Start date and age|1967|11|10}},"{{nowrap|[[Santa Clara, California]], U.S.}}",,,"35,700 (2024)",{{URL|https://www.appliedmaterials.com/|appliedmaterials.com}},Financials {{as of |2024|10|27|lc|=|y|df|=|US}} .,,,,Michael A. McNeilly,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,
AppLovin Corporation,AppLovin logo.png,,,,,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|APP| (Class A)|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|APP}} (Class A),[[Mobile technology]],Worldwide,Adam Foroughi ([[Chief executive officer|CEO]]),,,{{Increase}} {{US$|4.71&nbsp;billion|link|=|yes}} (2024),,{{Increase}} {{US$|1.87&nbsp;billion}} (2024),,{{nowrap|Increase| |US$|1.58&nbsp;billion| (2024)}} {{Increase}} {{US$|1.58&nbsp;billion}} (2024),,{{Increase}} {{US$|5.87&nbsp;billion}} (2024),,{{Decrease}} {{US$|1.09&nbsp;billion}} (2024),,{{ublist|[[Adam Foroughi]]|[[Andrew Karam]]|John Krystynak}},{{Start date and age|2012}},[[Stanford Research Park]],"{{nowrap|[[Palo Alto, California]]}}",U.S.,"1,563 (2024)",{{URL|https://www.applovin.com|applovin.com}},,,,,,,,,,MoPub,,,,,,,,,,,,,,,,,,,,,,
Arm Holdings plc,ARM logo dark text May 2025.svg,Arm ABCD building.jpg,1.15,"Arm ""ABCD"" building in Cherry Hinton, Cambridge, England",,{{Unbulleted list|Widelogic Limited (1990)|Advanced RISC Machines Limited (1990–1998)}},[[Public company|Public]] [[subsidiary]],{{Unbulleted list |NASDAQ|ARM| |[[Nasdaq-100]] component|[[London Stock Exchange|LSE]]: ARM (until 2016)|[[FTSE 100]] component (until 2016)}} {{NASDAQ|ARM}},[[Semiconductors]],,"{{Unbulleted list
   |[[Masayoshi Son]] ([[Chairperson|chairman]])
   |[[Rene Haas]] ([[CEO]])}}","[[Microprocessor]] designs, [[graphics processing unit]] (GPU) designs and [[AI accelerator|neural processing unit]] (NPU) designs",,{{increase}} {{US$|4.01&nbsp;billion|link|=|yes}} (2025),,{{increase}} {{US$|831&nbsp;million}} (2025),,{{increase}} {{US$|792&nbsp;million}} (2025),,{{increase}} {{US$|8.93&nbsp;billion}} (2025),,{{increase}} {{US$|6.84&nbsp;billion}} (2025),,"Robin Saxby, Jamie Urquhart, Mike Muller, Tudor Brown, Lee Smith, John Biggs, Harry Oldham, Dave Howard, Pete Harrod, Harry Meekings, Al Thomas, Andy Merritt, David Seal",,,,,"8,330 (2025)",,Financials {{as of|2025|03|31|lc|=|y}} .,,,,,,,,"[[Cambridge]], England, UK",,,{{start date and age|df|=|yes|1990|11|27}},,,,,,,,,,[[SoftBank Group]] (87.1%),{{URL|https://www.arm.com/|arm.com}},,,,,,,,,
